cname,income
Alameda,76644
Alpine,73307
Amador,44793
Butte,44346
Calaveras,49893
Colusa,49094
Contra Costa,82506
Del Norte,37268
El Dorado,67464
Fresno,43084
Glenn,48613
Humboldt,48739
Imperial,36974
Inyo,61358
Kern,39703
Kings,35306
Lake,43185
Lassen,37844
Los Angeles,62224
Madera,39897
Marin,134275
Mariposa,53143
Mendocino,50150
Merced,38519
Modoc,44822
Mono,51325
Monterey,56193
Napa,74984
Nevada,61799
Orange,69268
Placer,66700
Plumas,53599
Riverside,40637
Sacramento,52544
San Benito,53822
San Bernardino,40316
San Diego,61386
San Francisco,130696
San Joaquin,44995
San Luis Obispo,58491
San Mateo,126392
Santa Barbara,62690
Santa Clara,107877
Santa Cruz,69355
Shasta,46582
Sierra,46615
Siskiyou,45065
Solano,51664
Sonoma,64501
Stanislaus,44120
State of California,44535
Sutter,42483
Tehama,40640
Trinity,40420
Tulare,47838
Tuolumne,61712
Ventura,54118
Yolo,40929
Yuba,25583